iter	Passed	Remaining
413	3034	5175
414	3041	5167
415	3048	5159
416	3056	5152
417	3063	5144
418	3070	5137
419	3077	5129
420	3084	5121
421	3091	5113
422	3097	5104
423	3104	5095
424	3111	5087
425	3117	5079
426	3125	5072
427	3132	5064
428	3140	5058
429	3147	5049
430	3154	5042
431	3161	5034
432	3168	5027
433	3175	5019
434	3182	5011
435	3189	5003
436	3195	4994
437	3202	4986
438	3209	4978
439	3217	4971
440	3224	4964
441	3231	4956
442	3239	4949
443	3245	4941
444	3252	4933
445	3259	4925
446	3266	4917
447	3273	4910
448	3280	4903
449	3287	4895
450	3294	4886
451	3300	4878
452	3307	4870
453	3314	4862
454	3321	4854
455	3328	4846
456	3335	4839
457	3342	4830
458	3349	4823
459	3356	4816
460	3364	4809
461	3371	4801
462	3378	4793
463	3385	4785
464	3391	4776
465	3397	4768
466	3404	4760
467	3411	4752
468	3417	4744
469	3424	4735
470	3431	4728
471	3438	4720
472	3445	4712
473	3452	4704
474	3458	4696
475	3466	4690
476	3473	4682
477	3480	4674
478	3487	4666
479	3494	4659
480	3501	4651
481	3507	4643
482	3515	4636
483	3522	4628
484	3529	4621
485	3536	4613
486	3544	4607
487	3551	4599
488	3558	4591
489	3565	4583
490	3571	4575
491	3579	4568
492	3585	4560
493	3591	4551
494	3598	4543
495	3605	4535
496	3612	4528
497	3619	4520
498	3627	4514
499	3634	4507
500	3642	4501
501	3649	4492
502	3656	4485
503	3663	4477
504	3670	4469
505	3677	4462
506	3683	4453
507	3690	4446
508	3697	4438
509	3705	4432
510	3713	4425
511	3720	4417
512	3727	4409
513	3733	4401
514	3741	4395
515	3748	4387
516	3755	4380
517	3762	4372
518	3769	4364
519	3776	4357
520	3783	4349
521	3789	4341
522	3796	4333
523	3804	4326
524	3811	4319
525	3818	4311
526	3824	4303
527	3830	4294
528	3837	4287
529	3844	4280
530	3852	4273
531	3858	4264
532	3865	4256
533	3872	4249
534	3879	4242
535	3886	4234
536	3893	4226
537	3900	4219
538	3907	4212
539	3914	4204
540	3921	4196
541	3927	4188
542	3935	4181
543	3941	4173
544	3948	4165
545	3955	4158
546	3962	4150
547	3969	4142
548	3975	4134
549	3982	4127
550	3989	4119
551	3996	4112
552	4002	4103
553	4009	4096
554	4016	4088
555	4023	4081
556	4031	4074
557	4038	4067
558	4045	4060
559	4052	4052
560	4058	4044
561	4065	4036
562	4072	4028
563	4079	4021
564	4087	4014
565	4094	4007
566	4100	3999
567	4107	3991
568	4114	3984
569	4121	3976
570	4128	3969
571	4135	3962
572	4143	3955
573	4149	3947
574	4156	3939
575	4163	3931
576	4170	3924
577	4177	3917
578	4184	3909
579	4191	3902
580	4198	3894
581	4204	3886
582	4211	3879
583	4217	3871
584	4225	3864
585	4232	3856
586	4239	3849
587	4246	3841
588	4253	3834
589	4260	3827
590	4266	3819
591	4274	3812
592	4281	3805
593	4289	3798
594	4296	3791
595	4303	3783
596	4310	3776
597	4316	3768
598	4325	3761
599	4331	3754
600	4339	3747
601	4346	3740
602	4353	3732
603	4360	3724
604	4366	3717
605	4374	3710
606	4380	3702
607	4387	3694
608	4394	3687
609	4400	3679
610	4407	3671
611	4414	3664
612	4421	3657
613	4427	3649
614	4435	3641
615	4442	3634
616	4448	3626
617	4455	3619
618	4461	3611
619	4468	3603
620	4474	3595
621	4481	3588
622	4490	3582
623	4497	3574
624	4504	3567
625	4511	3559
626	4519	3553
627	4526	3546
628	4533	3538
629	4540	3531
630	4546	3523
631	4553	3516
632	4560	3508
633	4566	3500
634	4573	3493
635	4580	3485
636	4587	3478
637	4593	3470
638	4601	3463
639	4608	3456
640	4616	3449
641	4623	3442
642	4630	3435
643	4636	3427
644	4643	3419
645	4650	3412
646	4657	3405
647	4665	3398
648	4672	3390
649	4678	3383
650	4686	3376
651	4692	3368
652	4700	3361
653	4706	3353
654	4713	3346
655	4720	3338
656	4727	3331
657	4734	3324
658	4741	3317
659	4749	3310
660	4756	3302
661	4763	3295
662	4769	3287
663	4776	3280
664	4782	3272
665	4788	3264
666	4796	3257
667	4802	3249
668	4810	3242
669	4817	3235
670	4824	3228
671	4831	3221
672	4837	3213
673	4844	3205
674	4850	3198
675	4857	3190
676	4864	3183
677	4871	3175
678	4880	3169
679	4886	3162
680	4894	3155
681	4901	3147
682	4908	3140
683	4914	3132
684	4920	3124
685	4928	3117
686	4935	3110
687	4942	3103
688	4949	3095
689	4955	3088
690	4961	3080
691	4968	3072
692	4975	3065
693	4981	3058
694	4989	3051
695	4996	3043
696	5003	3036
697	5011	3029
698	5017	3022
699	5025	3015
700	5032	3007
701	5038	3000
702	5044	2992
703	5051	2984
704	5058	2977
705	5065	2970
706	5072	2963
707	5079	2955
