iter	RMSE
0	77.40022019
1	74.41217341
2	71.60910426
3	68.7605148
4	66.25902869
5	63.7921522
6	61.46636127
7	59.42079117
8	57.3030448
9	55.18703158
10	53.20046018
11	51.41576568
12	49.69536243
13	47.96078992
14	46.33546052
15	44.66052738
16	43.13548697
17	41.6005232
18	40.19695843
19	38.84023549
20	37.586474
21	36.39015445
22	35.22232699
23	34.0270942
24	32.96960661
25	32.01036381
26	31.01798088
27	30.0462734
28	29.20321896
29	28.35003362
30	27.51283668
31	26.78307726
32	26.08214778
33	25.37362019
34	24.73973867
35	24.10571108
36	23.49542034
37	22.95312661
38	22.39181603
39	21.81846568
40	21.30986382
41	20.84166677
42	20.32727292
43	19.86087816
44	19.42090622
45	19.05044461
46	18.60872197
47	18.24192816
48	17.86993854
49	17.54873495
50	17.19960572
51	16.85996909
52	16.5536258
53	16.21554277
54	15.93685284
55	15.64577218
56	15.36317929
57	15.1399907
58	14.89191102
59	14.66456186
60	14.43446229
61	14.21344009
62	14.00915389
63	13.84064662
64	13.67096119
65	13.49174385
66	13.33289611
67	13.15236088
68	12.99146992
69	12.83373786
70	12.67483293
71	12.56431812
72	12.426835
73	12.29473709
74	12.15900578
75	12.02318474
76	11.91700149
77	11.77169444
78	11.62894998
79	11.52616289
80	11.42453408
81	11.31537718
82	11.20283275
83	11.12080675
84	11.04585799
85	10.95477315
86	10.85949631
87	10.76520273
88	10.70234349
89	10.63562073
90	10.55524226
91	10.49315898
92	10.40428717
93	10.33892461
94	10.24072764
95	10.17137594
96	10.10902166
97	10.05382325
98	9.996444051
99	9.941333061
100	9.861375114
101	9.79521309
102	9.737087024
103	9.655524926
104	9.606216268
105	9.534898427
106	9.476350409
107	9.41383925
108	9.377324117
109	9.316006226
110	9.257002496
111	9.212271011
112	9.146500907
113	9.059944358
114	9.030029846
115	8.969698076
116	8.925052866
117	8.867386491
118	8.797877908
119	8.730697261
120	8.672166553
121	8.623402975
122	8.58394373
123	8.552506991
124	8.480167811
125	8.425900276
126	8.389797796
127	8.367831869
128	8.311426709
129	8.281944213
130	8.254341823
131	8.240765185
132	8.216656736
133	8.184109829
134	8.134959052
135	8.089508232
136	8.065916837
137	8.040050557
138	8.002788497
139	7.967840491
140	7.920615423
141	7.889281107
142	7.84593972
143	7.791380028
144	7.758786274
145	7.721452111
146	7.672416303
147	7.643476388
148	7.597643635
149	7.559641853
150	7.499272199
151	7.478292952
152	7.427782462
153	7.398195741
154	7.358046386
155	7.319734775
156	7.303834731
157	7.278150574
158	7.249028177
159	7.208058688
160	7.16798074
161	7.163737319
162	7.131741225
163	7.095476035
164	7.058838654
165	7.035358351
166	6.998653284
167	6.949997601
168	6.914797042
169	6.892734779
170	6.878892667
171	6.840157507
172	6.80698891
173	6.76117442
174	6.732780828
175	6.706964171
176	6.665625809
177	6.644033215
178	6.609333708
179	6.570639694
180	6.545191379
181	6.528268649
182	6.504033788
183	6.478855476
184	6.444692171
185	6.413099646
186	6.384191338
187	6.361343933
188	6.328308807
189	6.302372349
190	6.281268948
191	6.252689238
192	6.223096005
193	6.191042616
194	6.167848637
195	6.142522366
196	6.110173204
197	6.088367488
198	6.05664818
199	6.040289628
200	6.01469202
201	5.991201633
202	5.975782407
203	5.953265047
204	5.924171335
205	5.896508134
206	5.862501322
207	5.833918503
208	5.815671776
209	5.793988023
210	5.76616296
211	5.748996466
212	5.723565939
213	5.69909919
214	5.680685963
215	5.660325943
216	5.632454622
217	5.60797069
218	5.587169317
219	5.572366127
220	5.551162943
221	5.534613054
222	5.51418409
223	5.494642698
224	5.469478837
225	5.455924837
226	5.431996498
227	5.411799538
228	5.387269755
229	5.370108574
230	5.347320649
231	5.328626752
232	5.311267724
233	5.29712802
234	5.273403334
235	5.255845792
236	5.243641919
237	5.229545271
238	5.220430165
239	5.204504524
240	5.183163952
241	5.161835947
242	5.142200582
243	5.116581857
244	5.094668708
245	5.079562907
246	5.065591003
247	5.045948425
248	5.026055637
249	5.00752667
250	4.991729473
251	4.989449379
252	4.970800525
253	4.950207636
254	4.933685768
255	4.931497117
256	4.929140322
257	4.915949135
258	4.902362633
259	4.889440364
260	4.878360102
261	4.867016328
262	4.849191962
263	4.835403794
264	4.818071628
265	4.801250368
266	4.793435702
267	4.775300782
268	4.769502263
269	4.752692862
270	4.735977861
271	4.719433268
272	4.702797929
273	4.68630444
274	4.67037385
275	4.668453581
276	4.6549537
277	4.638945891
278	4.628624397
279	4.623116781
280	4.609322443
281	4.607369983
282	4.595928498
283	4.578810493
284	4.563842144
285	4.55695215
286	4.538131774
287	4.522316027
288	4.508063818
289	4.493557434
290	4.482602994
291	4.467432713
292	4.453484477
293	4.438652452
294	4.428382019
295	4.411421616
296	4.398828527
297	4.385863261
298	4.371805639
299	4.363180313
